DARFs MENSAIS - R4000 v2 teste

"Recolhedor Doc."		"Documento Hábil"	"DARF - Valor Base Cálculo"	"DARF - Valor Total"	"Realizado"
"02355633000148"	"A.B.S. - TRANSPORTES E TURISMO LTDA"	"153409152332023NP000300"	"1524,96"	"144,11"	"144,11"
"14522178000107"	"AEROPORTOS BRASIL - VIRACOPOS S.A."	"153080152332023NP000047"	"28,85"	"2,03"	"233,45"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000026"	"52,74"	"3,72"	"6,77"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000030"	"52,74"	"3,72"	"25,00"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000031"	"52,74"	"3,72"	"5,86"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000035"	"158,22"	"11,15"	"19,60"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000038"	"52,74"	"3,72"	"3,72"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000039"	"105,48"	"7,44"	"16,08"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000040"	"52,74"	"3,71"	"7,14"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000041"	"52,74"	"3,72"	"8,04"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000043"	"52,74"	"3,71"	"5,79"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000044"	"52,74"	"3,72"	"7,13"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000045"	"52,74"	"3,72"	"5,80"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000046"	"105,48"	"7,44"	"13,37"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000047"	"474,66"	"33,46"	"233,45"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000047"	"527,4"	"37,18"	"233,45"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000047"	"1763,83"	"124,35"	"233,45"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000048"	"105,48"	"7,44"	"14,93"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000049"	"51,98"	"3,66"	"7,38"
"33919741000120"	"AEROPORTOS DO NORDESTE DO BRASIL S.A."	"153080152332023NP000049"	"52,74"	"3,72"	"7,38"
"04900474000140"	"ARAUNA SERVICOS ESPECIALIZADOS LTDA"	"150119152332023NP000121"	"231542,18"	"21880,74"	"21.880,74"
"21265217000101"	"ARGOS COMBUSTIVEIS E LUBRIFICANTES LTDA"	"153409152332023NP000308"	"208,85"	"2,59"	"1.106,82"
"42262411000103"	"ARGOS LTDA"	"153088152332023NP000212"	"3238,17"	"189,43"	"189,43"
"11601184000242"	"ARLINDO DA FONSECA LINS & CIA LTDA"	"153409152332023NP000308"	"595,63"	"7,39"	"1.106,82"
"17086031000100"	"ATITUDE SERVICOS DE LIMPEZA LTDA"	"152771152332023NP000037"	"238690,17"	"22556,22"	"22.556,22"
"03701024000166"	"AUTO POSTO AGUIAR JUNIOR LTDA"	"153409152332023NP000308"	"122,35"	"1,52"	"1.106,82"
"00462284000138"	"AUTO POSTO CARRETEIRO LTDA"	"153409152332023NP000308"	"830,89"	"10,3"	"1.106,82"
"13653008000107"	"AVANTTI MOVEIS PARA ESCRITORIO LTDA"	"153088152332023NP000222"	"990"	"57,92"	"57,92"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000026"	"2127,8"	"21,28"	"21,28"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000026"	"2127,8"	"51,07"	"51,07"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000030"	"1428,8"	"14,29"	"38,35"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000030"	"1428,8"	"34,29"	"92,03"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000031"	"2779,8"	"27,8"	"45,49"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000031"	"2779,9"	"66,72"	"109,17"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000035"	"10319,4"	"103,19"	"103,19"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000035"	"10319,4"	"247,67"	"247,67"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000040"	"2266,9"	"22,67"	"30,13"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000040"	"2266,9"	"54,41"	"72,31"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000045"	"1060,9"	"10,61"	"16,54"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000045"	"1060,9"	"25,46"	"39,69"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000046"	"2033,8"	"20,34"	"51,61"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000046"	"2033,8"	"48,81"	"123,86"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000047"	"58064,64"	"580,65"	"1.027,83"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000047"	"58064,64"	"1393,55"	"2.466,81"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000048"	"4681,8"	"46,82"	"46,82"
"09296295000160"	"AZUL LINHAS AEREAS BRASILEIRAS S.A."	"153080152332023NP000048"	"4681,8"	"112,36"	"112,36"
"01568077000206"	"B-GREEN GESTAO AMBIENTAL LTDA"	"153095152332023NP000419"	"51072,04"	"4826,31"	"4.826,31"
"74161373000180"	"BDS CONFECCOES E SERIGRAFIA LTDA"	"153096152332023NP000040"	"12320"	"720,72"	"720,72"
"18607653000107"	"BIBLIOTHECA SISTEMAS DO BRASIL LTDA"	"153089152332023NP000033"	"21348"	"1248,86"	"1.248,86"
"01016052000119"	"BIG CAR LTDA"	"153409152332023NP000305"	"370"	"34,96"	"34,96"
"01016052000119"	"BIG CAR LTDA"	"153409152332023NP000305"	"1677"	"98,1"	"98,10"
"20982406000124"	"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA"	"153095152332023NP000399"	"3427,1"	"200,49"	"200,49"
