"DH - Emitente Doc.Origem";;"Recolhedor Doc.";;"Documento Hábil";"DH - Dia Transação";"DH - Doc. Origem";"DH - Observação";"DH - Processo";"DH - Valor Doc.Origem";"Compromisso";"DH - Valor";"DARF - Valor Base Cálculo";"DARF - Valor Total";"DARF - Receita";;"Realizado"
"04427309000113";"ALERTA SERVICOS  EIRELI";"04427309000113";"ALERTA SERVICOS  EIRELI";"150119152332023NP000090";"23/10/2023";"202300000001014";"Contrato 50/2022, vigente até 01/09/2023, referente aos serviços de limpeza e conservação predial no Centro Acadêmico do Agreste UFPE, no mês de set/2023.";"23076.103859/2023-38";"206267,93";"104209116";"206267,93";"206267,93";"19492,32";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"19.492,32"
"04900474000140";"ARAUNA SERVICOS ESPECIALIZADOS LTDA";"04900474000140";"ARAUNA SERVICOS ESPECIALIZADOS LTDA";"150119152332023NP000104";"20/10/2023";"202300000000833";"NFS-e 202300000000833 referente aos serviços de limpeza e conservação predial do CAA/UFPE, no período de 11/09/2023 a 30/09/2023, conforme Contrato 55/2023, vigente até 06/09/2023 \ 17032";"23076.098307/2023-77";"174564,85";"103995985";"174564,85";"174564,85";"16496,38";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"16.496,38"
"42262411000103";"ARGOS LTDA";"42262411000103";"ARGOS LTDA";"153088152332023NP000192";"16/10/2023";"10953";"DANFE 10953 referente à aquisição de máquinas, utensílios e equipamentos diversos, conforme carona em Pregão 31/2022, UASG 158122 \17009";"23076.065489/2023-68";"632,76";"103908849";"632,76";"632,76";"37,02";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"37,02"
"42262411000103";"ARGOS LTDA";"42262411000103";"ARGOS LTDA";"153088152332023NP000202";"30/10/2023";"11264";"PERMANENTE - DANFE Nº 11264. PORT. Nº 426/2023 - DORC. \17009.";"23076.077407/2023-31";"1527,32";"104312329";"1527,32";"1527,32";"89,35";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"89,35"
"11868460000152";"ASSOCIACAO ATLETICA BANCO DO BRASIL";"11868460000152";"ASSOCIACAO ATLETICA BANCO DO BRASIL";"150134152332023NP000084";"10/10/2023";"9";"NFSe N. 09, REF. ALUGUEL DO ESPAÇO DA PISCINA DA AABB PARA AS AULAS PRÁTICAS DO CURSO DE EDUCAÇÃO FÍSICA DO CENTRO ACADÊMICO DE VITÓRIA PORT CRED. 0098, 10/03/2022 - DORC DISPENSA DE LICITAÇÃO 1167/2022 - CONTRATO N. 45/2022 - VIGENTE ATÉ 16/06/2023.";"23076.096839/2023-40";"2941,18";"103878706";"2941,18";"2941,18";"277,94";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"277,94"
"17086031000100";"ATITUDE SERVICOS DE LIMPEZA LTDA";"17086031000100";"ATITUDE SERVICOS DE LIMPEZA LTDA";"152771152332023NP000032";"06/10/2023";"1480";"Contrato 33/2021, vigente até 03/11/2023 - serviços de controle, operação e fiscalização de portarias dos Campus I e II da UFPE";"23076.087734/2023-77";"207508,47";"103816555";"207508,47";"207508,47";"19609,55";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"19.609,55"
"17086031000100";"ATITUDE SERVICOS DE LIMPEZA LTDA";"17086031000100";"ATITUDE SERVICOS DE LIMPEZA LTDA";"152771152332023NP000034";"10/10/2023";"1486";"Contrato 33/2021, vigente até 03/11/2023 - serviços de controle, operação e fiscalização de portarias dos Campus I e II da UFPE";"23076.011270/2023-57";"238553,16";"103868069";"238553,16";"238553,16";"22543,27";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"22.543,27"
"03746938001387";"BRS SUPRIMENTOS CORPORATIVOS S/A";"03746938001387";"BRS SUPRIMENTOS CORPORATIVOS S/A";"153409152332023NP000267";"31/10/2023";"2023348";"NFS-e 2023348 contratação de serviços continuados de outsourcing para operação de almoxarifado virtual, sob demanda, visando ao suprimento de materiais de consumo, via sistema web disponibilizado pela CONTRATADA, conforme contrato n. 25/2021, vigente até 09/03/2024 - no mês de JULHO/2023 \17003";"23076.094432/2023-39";"41430,5";"104238328";"41430,5";"41430,5";"2423,68";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"2.423,68"
"61461034000178";"CARCI INDUSTRIA E COMERCIO DE APARELHOS CIRURGICOS E OR";"61461034000178";"CARCI INDUSTRIA E COMERCIO DE APARELHOS CIRURGICOS E OR";"153087152332023NP000127";"17/10/2023";"162595";"DANFE 162595 referente à aquisição de material hospitalar, conforme carona em Pregão 06/2023, UASG 783701 \17009";"23076.090379/2023-54";"1500";"103922612";"1500";"1500";"87,75";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"87,75"
"08772204000152";"CASA DO LABORATORIO LTDA";"08772204000152";"CASA DO LABORATORIO LTDA";"153088152332023NP000198";"07/11/2023";"74231";"DANFE 74231, REF. AQUISIÇÃO DISPENSA DE LICITAÇÃO N. 1228/2023 PARA O DEPARTAMENTO DE OCEANOGRAFIA DO CTG. PORTARIA N. 0264/2023. \17009";"23076.094046/2023-82";"1794,9";"104093603";"1794,9";"1794,9";"105";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"105,00"
"43684445000140";"CH3 COMERCIO E NEGOCIOS LTDA";"43684445000140";"CH3 COMERCIO E NEGOCIOS LTDA";"153084152332023NP000061";"31/10/2023";"1083";"AQUISIÇÃO DE REFRIGERADOR FRIGOBAR PARA A DIRETORIA DO CFCH - DANFE NR. 1083 \17009";"23076.075982/2023-94";"1205,36";"104423178";"1205,36";"1205,36";"266,59";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"266,59"
"39659767000162";"CIMOVEIS COMERCIO DE MOVEIS LTDA";"39659767000162";"CIMOVEIS COMERCIO DE MOVEIS LTDA";"153087152332023NP000130";"23/10/2023";"594";"AQUISIÇÃO DE PERMANENTE,CONF.DANFE Nº 594. PORT. Nº 547/2023 - DORC.";"23076.054549/2023-83";"51893";"103998867";"51893";"51893";"3035,74";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"3.035,74"
"31908034000102";"CIRURGICA SERRA MAR LTDA";"31908034000102";"CIRURGICA SERRA MAR LTDA";"153087152332023NP000114";"02/10/2023";"7588";"DANFE 7588 referente à aquisição de material químico, conforme Pregão UFPE 26/2022.";"23076.089607/2023-43";"507,5";"103649948";"507,5";"507,5";"29,69";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"29,69"
"40432544000147";"CLARO S.A.";"40432544000147";"CLARO S.A.";"153101152332023NP000066";"23/10/2023";"23/09/23002043-1";"FATURAS N. 23/09/23002043-1 e 23/09/23002135-5 - CLARO S/A - CONTRATO N. 10/2022, VIG. ATÉ 22/02/2024 - COMP: SET/2023.";"23076.097442/2023-55";"5035";"103798372";"5105,4";"70,4";"6,65";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"482,46"
"40432544000147";"CLARO S.A.";"40432544000147";"CLARO S.A.";"153101152332023NP000066";"23/10/2023";"23/09/23002043-1";"FATURAS N. 23/09/23002043-1 e 23/09/23002135-5 - CLARO S/A - CONTRATO N. 10/2022, VIG. ATÉ 22/02/2024 - COMP: SET/2023.";"23076.097442/2023-55";"5035";"103798372";"5105,4";"5035";"475,81";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"482,46"
"40432544000147";"CLARO S.A.";"40432544000147";"CLARO S.A.";"153101152332023NP000066";"23/10/2023";"23/09/23002135-5";"FATURAS N. 23/09/23002043-1 e 23/09/23002135-5 - CLARO S/A - CONTRATO N. 10/2022, VIG. ATÉ 22/02/2024 - COMP: SET/2023.";"23076.097442/2023-55";"70,4";"103798372";"5105,4";"70,4";"6,65";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"482,46"
"40432544000147";"CLARO S.A.";"40432544000147";"CLARO S.A.";"153101152332023NP000066";"23/10/2023";"23/09/23002135-5";"FATURAS N. 23/09/23002043-1 e 23/09/23002135-5 - CLARO S/A - CONTRATO N. 10/2022, VIG. ATÉ 22/02/2024 - COMP: SET/2023.";"23076.097442/2023-55";"70,4";"103798372";"5105,4";"5035";"475,81";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"482,46"
