"DH - Emitente Doc.Origem";;"Recolhedor Doc.";;"Documento Hábil";"DH - Dia Transação";"DH - Doc. Origem";"DH - Observação";"DH - Processo";"DH - Valor Doc.Origem";"Compromisso";"DH - Valor";"DARF - Valor Base Cálculo";"DARF - Valor Total";"DARF - Receita";;"Realizado"
"02355633000148";"A.B.S. - TRANSPORTES E TURISMO LTDA";"02355633000148";"A.B.S. - TRANSPORTES E TURISMO LTDA";"153409152332023NP000300";"14/11/2023";"18600";"Fatura 18600  referente à locação de veículo Voyage de placa RME-6C11, no período de 01/09/2023 a 06/09/2023, conforme Contrato 30/2022, vigente até 11/09/2023 \17099";"23076.097710/2023-94";"1524,96";"104850374";"1524,96";"1524,96";"144,11";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"144,11"
"04900474000140";"ARAUNA SERVICOS ESPECIALIZADOS LTDA";"04900474000140";"ARAUNA SERVICOS ESPECIALIZADOS LTDA";"150119152332023NP000121";"20/11/2023";"907";"NFS-e 202300000000907 referente aos serviços de limpeza e conservação predial do CAA/UFPE, no período de 01/10/2023 a 10/10/2023, conforme Contrato 55/2023, vigente até 06/09/2023 \ 17032";"23076.109414/2023-15";"231542,18";"104646140";"231542,18";"231542,18";"21880,74";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"21.880,74"
"42262411000103";"ARGOS LTDA";"42262411000103";"ARGOS LTDA";"153088152332023NP000212";"06/11/2023";"11224";"AQUISIÇÃO DE PERMANENTE - DANFE Nº 11.224. PORT. Nº 426/2023 - DORC. \17009.";"23076.074073/2023-33";"3238,17";"104454645";"3238,17";"3238,17";"189,43";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"189,43"
"17086031000100";"ATITUDE SERVICOS DE LIMPEZA LTDA";"17086031000100";"ATITUDE SERVICOS DE LIMPEZA LTDA";"152771152332023NP000037";"17/11/2023";"1541";"Contrato 33/2021, vigente até 03/11/2023 - serviços de controle, operação e fiscalização de portarias dos Campus I e II da UFPE";"23076.111709/2023-33";"238690,17";"104933145";"238690,17";"238690,17";"22556,22";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"22.556,22"
"13653008000107";"AVANTTI MOVEIS PARA ESCRITORIO LTDA";"13653008000107";"AVANTTI MOVEIS PARA ESCRITORIO LTDA";"153088152332023NP000222";"09/11/2023";"112366";"DANFE 112366 referente à aquisição de mobiliário em geral, conforme Pregão UFPE 32/2022.";"23076.094803/2023-13";"990";"104687597";"990";"990";"57,92";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"57,92"
"01568077000206";"B-GREEN GESTAO AMBIENTAL LTDA";"01568077000206";"B-GREEN GESTAO AMBIENTAL LTDA";"153095152332023NP000419";"21/11/2023";"499841";"NFS-e 499841 referente aos serviços de coleta, transporte, tratamento e disposição final de resíduos com remoção de caçamba compactadora, no mês de OUTUBRO/2023 (19/09/2023 a 29/09/2023), conforme contrato 54/2023, vigente até 13/09/2024 \17099";"23076.112350/2023-89";"51072,04";"104857900";"51072,04";"51072,04";"4826,31";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"4.826,31"
"00000000000191";"BANCO DO BRASIL SA";"153409";"PRO-REITORIA DE GESTAO ADMINISTRATIVA";"153409152332023TF000008";"27/11/2023";"AUF/2022";"CÂMBIO REFERENTE COTA ANUAL 2022 DA CONTRIBUIÇÃO À AGÊNCIA UNIVERSITÁRIA DA FRANCOFONIA (AUF), EM ATENDIMENTOS AS DEMANDAS DO GABINETE DO REITOR, VALOR EM Eur 1300,00, COTAÇÃO EUR/R$ 5,3620, DESPESAS BANCÁRIAS R$ 550,00 E IMPOSTO DE RENDA R$ 1.230,11";"23076.038248/2023-24";"8750,71";"105230340";"8750,71";"6970,6";"1230,11";"0473";"IRRF-RENDIMENTOS DO TRABALHO-RESID.EXTERIOR";"1.230,11"
"74161373000180";"BDS CONFECCOES E SERIGRAFIA LTDA";"74161373000180";"BDS CONFECCOES E SERIGRAFIA LTDA";"153096152332023NP000040";"20/11/2023";"1547";"DANFE N. 1547 REF. SERVIÇOS GRÁFICOS - EFD-REINF: \170992023NE000048 ¿ PORT. DORC ¿ FONTE 1050000382 -339039.63 ¿ SERVIÇOS GRÁFICOS E EDITORIAISPRONTO PRA PAGAMENTO";"23076.107764/2023-42";"12320";"104950132";"12320";"12320";"720,72";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"720,72"
"18607653000107";"BIBLIOTHECA SISTEMAS DO BRASIL LTDA";"18607653000107";"BIBLIOTHECA SISTEMAS DO BRASIL LTDA";"153089152332023NP000033";"23/11/2023";"3119";"Pgto do(s) Instr.(s) de Cobrança(s) núm.(s): 3119, Contrato nº: 2023NE000013  - 18.607.653/0001-07 - BIBLIOTHECA SISTEMAS DO BRASIL LTDA, Proc.(s) núm.(s): 23076.096594/2023-59, do(s) fornecimento(s)/serviço(s) prestado(s) ao(s) mês(es): 11/2023. \17099.";"23076.096594/2023-59";"21348";"104999284";"21348";"21348";"1248,86";"6147";"PRODUTOS-TRIBUTOS RETIDOS ORGAOS PUBLICOS";"1.248,86"
"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"20982406000124";"BRAVO AR SERVICE COMERCIO MAQUINAS E EQUIPAMENTOS LTDA";"153095152332023NP000399";"16/11/2023";"370";"NFS-e N. 202300000000370 e DANFE Nº 1529 REF. AO CONTRATO N. 02/2023, VIGENTE ATÉ 20/01/2024, CUJO OBJETO É CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA, PREDITIVA E CORRETIVA E INSTALAÇÃO/REMOÇÃO DOS CONDICIONADORES DE AR, CAMPUS RECIFE, CAA E CAV. SERVIÇOS REALIZADOS NO PERÍODO DE SETEMBRO DE 2023.\ 17033 - SERVIÇOS e \17009 - MATERIAIS.";"23076.106738/2023-02";"21699,76";"104494379";"25126,86";"21699,76";"2050,63";"6190";"SERVICOS-TRIBUTOS RETIDOS P/ORGAO PUBLICO";"2.050,63"
